OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
OTU_1	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Didymellaceae_1	Didymella_1		Fungi	100.000	100
OTU_2	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Corynesporascaceae_1	Corynespora_1	Corynespora cassiicola 	Fungi	99.444	100
OTU_3	Viridiplantae_1	Anthophyta_1	Eudicotyledonae_1	Fabales_1	Fabaceae_1	Glycine_1	Glycine soja 	Viridiplantae	100.000	100
OTU_4	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Pleosporaceae_1	Alternaria_1		Fungi	100.000	100
OTU_5	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Neosetophoma_1		Fungi	100.000	100
OTU_6	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1			Fungi	99.444	100
OTU_7	Fungi_1	Ascomycota_1	Dothideomycetes_1	Capnodiales_1	Cladosporiaceae_1	Cladosporium_1		Fungi	100.000	100
OTU_8	Fungi_1	Ascomycota_1	Dothideomycetes_1	Mycosphaerellales_1	Mycosphaerellaceae_1	Septoria_1		Fungi	100.000	100
OTU_9	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Cantharellales_1	Ceratobasidiaceae_1			Fungi	100.000	100
OTU_10	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Coniothyriaceae	Coniothyrium		Fungi	100.000	100
OTU_11	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1				Fungi	99.444	100
OTU_12	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Psathyrellaceae_1	Coprinopsis_1		Fungi	100.000	100
OTU_13	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Nectriaceae_1	Fusarium_1	Fusarium oxysporum 	Fungi	100.000	100
OTU_14	Fungi_1	Ascomycota_1	Dothideomycetes_1					Fungi	100.000	100
OTU_15	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Auriculariales_1	Oliveonia_1			Fungi	100.000	100
OTU_16	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Agaricales_1	Strophariaceae_1	Deconica_1		Fungi	98.895	100
OTU_17	Alveolata_1	Ciliophora_1	Spirotrichea_1	Sporadotrichida_1				Alveolata	100.000	99
OTU_18	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Clavicipitaceae_1	Metarhizium_1	Metarhizium rileyi 	Fungi	100.000	100
OTU_19	Fungi_1	Ascomycota_1	Sordariomycetes_1	Hypocreales_1	Nectriaceae_1			Fungi	99.444	100
OTU_20	Fungi_1	Ascomycota_1	Sordariomycetes_1	Xylariales_1	Amphisphaeriaceae_1	Microdochium_1		Fungi	100.000	100
OTU_21	Fungi_1	Basidiomycota_1	Tremellomycetes_1	Filobasidiales_1	Filobasidiaceae_1	Filobasidium_1		Fungi	100.000	100
OTU_22	Fungi_1	Basidiomycota_1	Agaricomycetes_1	Cantharellales_1	Ceratobasidiaceae_1	Ceratobasidium_1		Fungi	99.444	100
OTU_23	Fungi_1	Ascomycota_1	Dothideomycetes_1	Pleosporales_1	Phaeosphaeriaceae_1	Paraphoma_1		Fungi	100.000	100
