#OTU ID	sample1000	sample1001	sample1003	sample1005	sample1007	sample1008	sample1009	sample1010	sample1011	sample1012	sample1013	sample1014	sample1015	sample1016	sample1017	sample1018	sample1019	sample1020	sample1021	sample1022	sample1024	sample1026	sample1028	sample1029	sample1030	sample1031	sample1032	sample1033	sample1034	sample1035	sample1036	sample1037	sample1038	sample1039	sample1040	sample1041	sample1042	sample1043	sample1045	sample1047	sample1049	sample1050	sample1051	sample1052	sample1053	sample1054	sample1055	sample1056	sample1057	sample1058	sample1059	sample1060	sample1061	sample1062	sample1063	sample1064	sample1066	sample1068	sample1070	sample1071	sample1072	sample1073	sample1074	sample1075	sample1076	sample1077	sample1078	sample1079	sample1080	sample1081	sample1082	sample1083	sample1084	sample1085	sample1087	sample1089	sample1091	sample1092	sample1093	sample1094	sample1095	sample1096	sample1097	sample1098	sample1099	sample1100	sample1101	sample1102	sample1103	sample1104	sample1105	sample1106	sample1107	sample1108	sample1109	sample1110	sample1111	sample1112	sample1113	sample875	sample877	sample879	sample881	sample882	sample883	sample884	sample885	sample886	sample887	sample888	sample889	sample890	sample891	sample892	sample893	sample894	sample895	sample896	sample898	sample900	sample901	sample902	sample903	sample904	sample905	sample906	sample907	sample908	sample909	sample910	sample911	sample912	sample913	sample914	sample915	sample916	sample917	sample918	sample919	sample921	sample923	sample924	sample925	sample926	sample927	sample928	sample929	sample930	sample931	sample932	sample933	sample934	sample935	sample936	sample937	sample938	sample940	sample942	sample944	sample945	sample946	sample947	sample948	sample949	sample950	sample951	sample952	sample953	sample954	sample955	sample956	sample957	sample958	sample959	sample961	sample963	sample965	sample966	sample967	sample968	sample969	sample970	sample971	sample972	sample973	sample974	sample975	sample976	sample977	sample978	sample979	sample980	sample982	sample984	sample986	sample987	sample988	sample989	sample990	sample991	sample992	sample993	sample994	sample995	sample996	sample997	sample998	sample999
OTU_41	9	7	0	9	96	0	5	29	3	9	31	7	12	5	7	10	12	1	2	166	2	1	20	2	3	128	3	27	31	0	0	56	1	58	35	0	13	58	74	49	242	100	90	150	5	39	49	11	56	164	12	119	231	22	174	279	4	146	173	15	55	51	0	29	54	17	6	77	0	1	66	3	190	184	4	61	270	5	44	231	3	315	125	4	40	103	5	20	130	43	130	0	31	225	190	235	152	57	37	23	0	22	56	0	1	55	1	9	64	3	5	61	0	16	15	11	0	630	4	99	0	41	0	19	3	7	4	10	4	0	22	9	22	12	70	2	6	0	8	24	6	1	31	13	4	23	19	2	3	3	2	1	7	0	2	9	0	22	16	0	35	8	1	11	12	0	55	107	2	31	17	0	73	25	1	8	15	4	4	128	8	4	56	2	2	37	3	32	16	4	17	47	9	43	60	45	3	89	29	16	9	63	6	47	2	13	20	1
OTU_5	1418	382	11	493	366	140	1758	1109	331	1925	533	174	537	254	62	580	289	25	20	2135	35	538	969	21	1213	312	23	731	852	38	2333	1491	40	2415	404	14	984	871	91	1297	1865	79	2011	1600	7	1266	436	11	287	600	37	832	1775	17	8435	1991	73	1717	2384	13	1784	1013	9	804	1849	73	952	1757	5	1588	2907	1394	1941	636	24	178	2792	66	1057	2133	18	1005	891	36	974	718	147	334	1080	1209	469	0	560	826	65	882	887	79	97	904	39	1287	868	18	1531	3460	77	2356	1208	78	1069	1039	44	2072	934	214	1074	2112	722	1367	0	1239	97	1142	689	881	837	884	1915	786	1963	1413	868	1231	319	2039	834	0	229	259	947	112	292	1353	868	376	979	52	349	624	45	1204	502	10	124	1622	38	958	974	68	790	516	102	584	391	6	1148	1303	50	922	1093	9	474	3445	238	3087	1483	329	2926	4828	456	1611	2965	499	781	2579	443	1518	1933	157	2692	6120	243	4353	2914	64	2232	2703	445	2061	2479	263	3021	2001	385	2640	2225	27
OTU_6	582	315	11	208	204	152	757	726	296	921	375	73	353	202	49	237	346	17	5	1186	25	319	446	7	145	51	5	151	548	271	693	564	13	386	289	21	115	157	42	1193	759	52	569	354	4	539	128	6	163	354	10	448	471	7	1679	623	52	823	759	62	1547	751	5	793	801	512	436	1439	11	1888	686	49	209	287	5	305	855	27	278	983	12	559	356	24	130	360	8	188	371	173	201	0	77	294	24	202	137	28	17	497	11	219	453	11	394	1615	47	573	585	196	428	576	31	909	587	72	369	1560	438	519	0	1624	97	996	539	520	1073	788	515	1767	2460	845	799	830	168	964	541	0	76	139	607	75	114	885	548	283	645	35	194	322	23	353	343	24	95	818	21	536	682	34	325	292	88	260	217	7	291	497	32	267	534	4	150	853	45	527	428	46	627	1659	46	347	1503	26	321	1305	502	455	1352	860	583	4492	140	2484	3827	159	1112	1731	83	1370	2152	161	1789	1852	716	3159	1232	24
OTU_1	1197	5145	113	6438	1401	2567	7048	9625	1650	9022	4897	2905	5666	3595	836	6755	5018	1034	23	6503	193	1504	1770	153	1680	846	205	4063	1084	132	2620	3139	274	3585	1250	56	2266	886	343	1078	2128	523	2243	1640	43	1358	804	55	1650	2166	98	697	2954	139	4188	2836	25	336	3189	54	346	602	18	185	716	99	174	998	10	164	177	14	32	4096	89	2865	5591	77	6387	12880	164	4859	2918	150	1967	2699	138	2354	6190	2434	3963	1	888	1101	8767	2377	2820	1139	1221	731	33	1170	962	28	212	3528	87	2971	1593	44	4926	1051	55	1450	1883	174	6415	703	821	461	0	472	46	223	903	1145	485	981	893	212	2524	1900	6130	1324	190	211	2791	0	418	3353	2415	307	2212	6785	1154	7510	3734	189	7423	1942	108	3539	1801	36	2981	2817	65	3542	2074	89	2958	5364	195	3688	670	32	1200	4468	70	3530	3179	56	7327	1185	119	744	1654	162	840	3238	113	694	2395	95	681	2302	178	1064	3998	157	2081	956	173	150	904	260	315	629	215	1265	467	351	220	7679	87	749	327	39
OTU_109	18	0	1	17	1	129	243	1	15	22	6	18	28	3	1	17	2	0	1	249	13	12	110	0	34	3	0	10	736	2	92	19	5	75	14	9	10	2	2	32	5	5	38	10	0	68	0	10	2	2	29	4	15	0	2	5	5	19	5	0	15	14	1	39	13	25	113	18	0	3	18	2	0	0	3	0	12	0	200	8	2	6	2	9	1	1	0	1	1	0	1	0	3	1	0	2	8	0	58	55	0	132	18	3	92	120	10	487	138	15	439	215	5	259	27	15	51	195	76	98	0	69	0	126	81	80	90	79	130	11	146	138	85	200	26	205	130	0	12	51	85	7	138	157	119	41	111	3	81	96	5	43	64	0	34	192	4	895	120	18	313	196	12	422	72	4	270	651	23	597	107	2	592	3	33	60	9	6	31	32	11	19	13	29	20	5	100	24	4	3	46	1	12	63	72	7	500	8	69	134	11	22	488	7	11	3	1	0
OTU_48	121	1	1	57	6	0	24	19	0	17	5	0	10	5	3	11	4	0	0	46	2	23	28	2	15	4	0	10	119	0	137	32	0	77	4	0	40	11	4	29	1	2	23	15	0	34	11	0	5	13	0	84	33	3	663	11	0	60	32	0	99	2	0	15	6	0	30	7	0	17	17	0	627	7	1	4	42	1	27	11	0	60	1	0	6	3	0	6	12	2	1	0	5	21	3	24	27	9	2	9	0	25	13	1	12	61	0	54	31	3	30	49	2	29	13	0	12	73	7	28	0	71	3	52	16	18	86	30	147	23	56	19	31	34	3	86	13	0	10	15	11	2	10	18	34	30	23	0	28	5	1	5	15	3	7	42	1	137	20	0	60	8	0	23	12	1	38	20	0	24	36	0	32	14	1	17	7	15	25	50	0	20	14	1	3	11	0	14	36	0	17	51	2	20	60	2	62	17	0	36	22	1	74	6	0	83	23	1
OTU_108	31	5	0	3	5	0	25	4	1	1	3	0	5	0	2	2	1	0	0	20	0	1	7	0	0	0	0	6	5	1	5	5	0	5	2	0	0	1	5	2	1	1	5	6	0	4	3	0	0	3	0	2	9	3	11	12	0	8	13	0	14	4	0	0	12	0	2	9	0	15	10	1	2	3	0	2	17	0	0	13	0	4	4	1	2	3	0	1	6	6	5	0	0	7	1	8	2	8	2	12	0	3	11	0	7	17	2	3	0	0	4	2	0	3	7	2	20	31	7	35	0	19	1	19	18	8	42	9	8	23	42	15	30	14	4	33	5	0	1	5	14	1	6	17	0	7	13	0	11	6	0	2	4	0	0	13	0	3	8	5	3	8	3	10	7	0	5	11	1	3	9	0	1	11	0	0	4	2	5	8	1	0	6	0	3	5	0	0	9	3	0	176	0	16	139	2	39	38	0	13	45	0	7	69	8	43	137	1
OTU_42	66	1	1	41	0	23	11	1	2	18	0	4	45	6	0	44	5	1	0	53	1	2	14	0	1	0	0	1	4	0	27	215	0	48	1	0	10	7	0	11	6	0	42	1	0	14	3	0	2	5	0	2	0	0	49	11	0	3	0	0	2	1	0	0	0	0	5	1	0	2	0	0	0	0	1	1	5	0	6	0	0	9	1	0	7	0	0	2	0	3	1	0	0	1	0	3	0	3	0	24	0	167	27	0	89	161	3	328	105	2	413	74	7	820	72	2	208	181	13	78	0	61	5	84	23	11	333	33	383	56	141	23	610	41	6	392	10	0	2	58	15	0	55	46	13	136	27	2	122	8	3	86	11	0	20	16	1	108	22	0	14	5	0	20	6	0	8	19	0	46	42	4	43	53	5	68	3	0	202	95	27	159	53	1	134	4	29	88	48	0	194	14	0	146	11	2	542	2	0	14	8	1	78	0	2	29	22	0
OTU_44	3	5	21	41	1	539	53	27	329	34	10	92	37	9	42	16	1	15	0	103	138	70	41	3	3	1	27	11	32	35	63	26	119	30	4	48	6	0	60	12	2	60	8	1	1	47	1	76	0	0	33	1	7	73	142	0	45	5	0	10	8	1	16	0	1	13	4	0	12	5	1	16	0	1	28	0	0	32	6	1	23	0	1	6	0	0	16	0	2	1	2	0	0	0	3	0	0	7	23	31	44	15	5	39	122	29	231	109	39	549	52	27	67	50	36	116	18	6	130	7	0	5	28	3	21	58	9	26	27	0	38	220	1	60	252	12	38	0	323	59	31	564	89	46	124	119	46	209	42	40	151	139	37	94	81	78	526	78	33	241	84	29	113	68	12	40	30	24	226	59	71	244	57	0	208	16	5	74	16	37	54	4	3	36	3	0	230	35	0	55	4	1	162	0	2	22	3	0	5	5	0	5	1	4	32	3	11	74
OTU_121	10	0	0	2	0	9	2	0	5	5	0	0	0	0	0	1	0	3	0	17	1	0	6	0	1	0	0	0	0	4	7	30	0	0	0	1	0	0	1	52	0	0	31	0	3	12	0	2	9	0	0	2	0	0	52	0	1	23	0	4	7	16	1	30	8	25	38	27	0	6	6	3	43	3	4	25	0	1	8	0	7	4	0	2	0	0	3	0	6	0	0	0	0	0	0	1	0	0	0	6	0	0	5	0	3	2	2	20	0	0	6	5	0	37	0	0	33	92	7	34	0	58	8	48	3	27	15	16	21	22	12	10	26	13	31	58	5	0	9	6	12	16	0	4	6	6	8	5	11	2	4	6	3	0	0	8	0	3	9	1	0	1	1	1	5	0	0	2	1	1	9	1	0	0	1	3	0	0	0	0	2	0	3	3	3	0	5	0	0	3	1	0	3	38	4	2	3	6	0	1	0	1	2	0	27	17	0	4
