#OTU ID	sample1091	sample1092	sample1093	sample1094	sample1095	sample1096	sample1097	sample1098	sample1099	sample1100	sample1101	sample1102	sample1103	sample1104	sample1105	sample1106	sample1107	sample1108	sample1109	sample1110	sample1111	sample1112	sample1113	sample1114	sample1115	sample1116	sample1117	sample1118	sample1119	sample1120	sample1121	sample1122	sample1123	sample1124	sample1125	sample1126	sample1127	sample1128	sample1129	sample1130	sample1131	sample1132	sample1133	sample1134	sample1135
OTU_857	1625	3	63	1067	3383	928	1272	3685	678	36	162	339	0	0	191	196	678	130	414	237	1042	333	234	64	630	198	2	35	1831	2150	93	305	1226	1945	563	41	3	1253	810	65	1422	1	1	1	2
OTU_107	175	0	0	0	92	92	29	113	21	0	2	14	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	4	0	20	9	2	1	8	13	0	0	0	0	0	0	0
OTU_111	33	0	44	16	15	1	7	12	4	16	88	18	1	0	100	39	12	10	77	15	45	10	12	136	25	37	0	17	0	3	37	0	13	2	59	19	0	15	5	22	1	0	0	0	0
OTU_62	30	1	21	40	20	1	49	140	67	112	124	86	2	1	35	66	34	26	157	44	0	6	131	127	23	98	4	29	38	38	270	14	381	132	145	44	0	24	234	47	219	1	0	1	0
OTU_190	72	0	0	3	0	0	7	216	24	60	0	0	0	1	0	39	0	6	13	2	0	6	0	36	0	57	1	6	0	0	0	0	0	0	13	2	0	0	0	0	1	0	0	0	0
OTU_16	1511	3	228	7336	2335	1072	4072	3264	1111	32	831	931	46	2	6544	2771	2137	1032	311	2541	1007	1034	86	1601	10187	126	4	11	215	731	77	44	633	4929	135	28	39	159	154	38	237	3	2	1	3
OTU_77	232	0	1	3	0	0	3	448	90	0	7	38	0	0	294	91	1	14	62	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	0
OTU_8	7565	0	1275	3937	2575	1387	6669	13161	2259	0	548	1707	12	0	856	2404	458	3276	300	4353	139	13948	67	0	11	6	1	0	22	36	11	479	164	2832	39	0	0	28	1	10	11	1	0	1	2
OTU_65	124	0	9	23	0	0	0	14	20	13	39	8	0	0	496	0	2	4	31	1	0	9	37	0	19	27	0	0	19	10	1	4	50	315	8	2	0	22	41	1	662	0	0	0	0
OTU_72	123	0	0	0	0	0	1	692	61	0	0	0	0	0	0	4	0	0	4	96	0	67	26	36	263	13	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0
OTU_41	301	1	224	1410	519	315	310	186	45	0	109	80	38	0	665	471	8	9	44	200	1330	37	444	73	667	111	0	0	1773	807	8	19	254	177	49	9	93	1097	1137	43	810	2	0	0	0
OTU_25	3627	0	188	11	212	77	481	4748	415	0	110	306	0	0	131	484	438	2065	132	1255	197	485	40	295	1809	427	1	0	141	57	0	355	368	539	51	2	0	9	283	12	320	0	0	0	0
OTU_31	201	0	6	38	1523	441	3	335	25	1	10	17	0	0	8	18	1	3	23	12	0	5	6	49	2	0	1	23	123	115	33	21	675	98	57	10	0	122	40	13	2777	0	0	0	0
OTU_181	74	0	0	0	0	0	108	182	10	0	13	3	0	0	0	9	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	5	0	0	3	0	0	0	0
OTU_9	3099	23	687	1731	2383	1002	7432	7056	1206	359	966	3047	99	30	2868	1102	1467	1176	2462	958	1116	1483	433	1988	8599	636	7	126	4112	8571	378	2592	7205	5620	1268	172	93	3603	4614	199	9214	6	4	1	3
OTU_33	517	8	461	363	131	399	540	142	391	169	724	63	193	21	34	353	201	755	843	113	1468	72	106	431	34	786	12	88	18	29	22	4	31	14	298	56	140	24	80	91	23	2	1	1	2
OTU_36	746	0	44	1	643	242	217	4148	457	22	0	0	0	0	0	6	0	40	121	0	0	0	8	0	0	8	0	0	2	0	0	0	16	20	3	0	0	0	1	5	24	0	0	0	0
OTU_196	26	2	15	8	0	0	3	5	0	0	8	10	0	0	9	19	6	6	8	9	0	0	23	16	4	5	0	4	3	2	42	1	2	0	14	4	0	5	15	3	5	0	0	0	0
OTU_14	914	2	251	729	1550	542	256	522	219	30	196	920	0	0	917	735	1698	510	640	334	707	418	498	329	1779	244	0	24	5402	5972	40	2061	1537	2697	384	32	267	3092	2205	148	5084	1	0	3	2
OTU_536	6	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
OTU_101	794	0	38	0	2	0	0	0	0	0	17	0	114	0	0	296	326	264	76	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	28	21	11	1	0	0	0
OTU_57	80	16	66	111	18	1	103	31	40	39	132	20	45	4	194	39	53	51	323	64	0	2	114	99	13	39	2	17	19	27	180	9	82	620	122	32	0	91	95	28	86	0	0	0	0
OTU_422	7	0	0	0	0	0	0	0	0	0	13	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
OTU_7	685	0	468	1033	4311	1660	288	1952	207	30	192	483	0	0	497	149	226	95	174	2058	513	1489	500	725	4935	135	0	6	8608	3005	2	8983	6805	1938	669	10	307	11311	4293	124	1612	0	1	0	4
OTU_81	315	0	0	0	0	0	9	1386	213	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_29	1143	42	349	226	8	5	16	1203	186	1	47	0	0	0	0	2	0	0	6	1	11	0	0	0	0	1	0	0	3830	3	0	5720	6322	2141	172	9	124	8338	1243	812	1506	0	0	0	0
OTU_96	92	0	144	7	35	48	23	107	11	0	46	137	0	0	1	0	26	31	3	3	0	50	4	9	0	0	0	7	0	1	19	0	1	2	14	2	0	0	5	9	1	0	0	0	0
OTU_42	270	37	50	1926	7	0	2	1310	131	0	340	2091	0	0	2	13	5	4	13	19	0	0	5	0	2	37	1	3	0	0	8	0	0	1	18	8	0	0	1	0	0	0	0	1	0
OTU_213	51	0	0	3	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_219	76	0	0	0	0	1	0	0	0	56	25	0	0	1	0	11	0	0	2	10	110	0	0	0	0	30	0	0	0	0	0	0	0	0	8	10	18	0	0	1	0	0	0	0	0
OTU_88	12	5	74	45	23	76	24	11	26	96	186	28	0	2	119	98	42	56	253	49	0	9	86	260	28	71	5	51	8	1	53	2	46	7	269	90	0	15	56	84	45	0	1	0	0
OTU_26	43	0	110	159	0	5	637	690	161	9	1478	8520	0	29	4	10	0	5	75	7	0	0	0	42	1	20	0	1	0	0	16	1705	1	0	18	7	0	0	33	20	0	0	0	0	0
OTU_15	351	33	42	548	16863	9857	153	158	38	0	8	4	0	32	26	43	18	11	165	632	481	1101	57	301	1883	203	0	3	1945	1023	0	81	410	241	44	9	33	1457	426	67	194	0	0	0	0
OTU_116	29	1	109	21	14	1	16	115	37	128	49	10	1	24	8	17	5	12	28	4	29	9	83	6	20	1	0	9	86	84	13	23	92	125	101	8	34	23	8	5	74	1	0	0	0
OTU_633	29	0	17	4	0	0	3	7	13	12	53	1	0	0	8	3	5	7	47	8	0	0	4	47	0	9	0	9	0	0	10	1	4	4	14	10	0	0	2	3	37	0	0	0	0
OTU_380	2	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	7	0	5	13	0	0	54	0	0	29	0	6	4	2	0	0	1	0	0	3	0	2	0	4	0	0	0	0	0
OTU_142	16	0	0	0	0	0	0	237	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_122	40	0	0	183	125	54	29	21	10	0	17	12	0	0	92	44	1	0	18	20	191	260	78	6	90	172	0	0	272	154	0	0	42	28	8	2	9	148	207	13	33	0	0	0	0
OTU_98	137	0	1	14	9	0	4	96	0	0	14	0	0	0	252	0	19	5	0	1	0	3	15	0	0	113	0	0	25	11	0	4	23	1	0	1	0	7	8	3	11	0	0	1	0
OTU_50	2	0	0	5	40	26	0	56	0	4	28	2	2	0	156	0	20	0	21	7	221	58	7	13	76	15	0	6	283	170	6	29	154	940	18	4	0	155	100	5	58	0	0	0	1
OTU_248	63	0	9	0	0	0	0	0	12	1	0	1	0	0	0	0	2	0	2	2	0	0	4	0	0	0	0	2	0	0	0	0	0	0	4	9	0	0	0	5	0	0	0	0	0
OTU_104	148	0	344	10	9	0	25	969	119	0	111	394	0	0	0	7	5	7	17	1	0	0	4	5	0	0	0	0	7	13	13	725	3	184	3	0	0	5	38	4	3	0	0	0	0
OTU_106	63	0	10	3	8	0	13	146	28	8	10	55	0	0	7	14	0	4	2	10	0	3	1	16	23	17	0	0	21	13	0	26	26	14	8	3	0	7	32	0	28	0	0	0	0
OTU_102	31	7	80	26	0	2	0	18	0	53	2	13	0	1	0	112	7	3	138	50	0	0	0	100	13	43	3	0	0	0	0	2	1	3	62	68	0	0	6	42	3	0	0	0	1
OTU_215	15	0	0	3	10	0	0	83	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	5	0	0	10	0	1	0	0	2	0	0	0	0	0	0
OTU_30	477	0	339	446	42	0	457	1733	173	0	120	43	0	1	15	2	1	14	17	13	467	6	4	0	28	6	0	0	4523	517	4	902	440	107	9	1	20	380	135	9	246	0	0	0	0
